Concept Code;Concept Name;Preferred Concept Name
45001;Abbeville;Abbeville, SC
22001;Acadia;Acadia, LA
51001;Accomack;Accomack, VA
16001;Ada;Ada, ID
19001;Adair;Adair, IA
21001;Adair;Adair, KY
29001;Adair;Adair, MO
40001;Adair;Adair, OK
39001;Adams;Adams, OH
38001;Adams;Adams, ND
31001;Adams;Adams, NE
42001;Adams;Adams, PA
19003;Adams;Adams, IA
28001;Adams;Adams, MS
16003;Adams;Adams, ID
17001;Adams;Adams, IL
18001;Adams;Adams, IN
08001;Adams;Adams, CO
53001;Adams;Adams, WA
55001;Adams;Adams, WI
50001;Addison;Addison, VT
72001;Adjuntas;Adjuntas, PR
72003;Aguada;Aguada, PR
72005;Aguadilla;Aguadilla, PR
72007;Aguas Buenas;Aguas Buenas, PR
72009;Aibonito;Aibonito, PR
45003;Aiken;Aiken, SC
68007;Ailinginae;Ailinginae, MH
68010;Ailinglaplap;Ailinglaplap, MH
68030;Ailuk;Ailuk, MH
70002;Aimeliik;Aimeliik, PW
70004;Airai;Airai, PW
27001;Aitkin;Aitkin, MN
12001;Alachua;Alachua, FL
37001;Alamance;Alamance, NC
06001;Alameda;Alameda, CA
08003;Alamosa;Alamosa, CO
36001;Albany;Albany, NY
56001;Albany;Albany, WY
51003;Albemarle;Albemarle, VA
26001;Alcona;Alcona, MI
28003;Alcorn;Alcorn, MS
02013;Aleutians East;Aleutians East, AK
02016;Aleutians West (CA);Aleutians West (CA), AK
17003;Alexander;Alexander, IL
37003;Alexander;Alexander, NC
51510;Alexandria (city);Alexandria (city), VA
40003;Alfalfa;Alfalfa, OK
26003;Alger;Alger, MI
19005;Allamakee;Allamakee, IA
26005;Allegan;Allegan, MI
24001;Allegany;Allegany, MD
36003;Allegany;Allegany, NY
37005;Alleghany;Alleghany, NC
51005;Alleghany;Alleghany, VA
42003;Allegheny;Allegheny, PA
39003;Allen;Allen, OH
22003;Allen;Allen, LA
20001;Allen;Allen, KS
21003;Allen;Allen, KY
18003;Allen;Allen, IN
45005;Allendale;Allendale, SC
26007;Alpena;Alpena, MI
06003;Alpine;Alpine, CA
06005;Amador;Amador, CA
51007;Amelia;Amelia, VA
51009;Amherst;Amherst, VA
28005;Amite;Amite, MS
72011;Anasco;Anasco, PR
02020;Anchorage;Anchorage, AK
21005;Anderson;Anderson, KY
20003;Anderson;Anderson, KS
45007;Anderson;Anderson, SC
47001;Anderson;Anderson, TN
48001;Anderson;Anderson, TX
29003;Andrew;Andrew, MO
48003;Andrews;Andrews, TX
23001;Androscoggin;Androscoggin, ME
70010;Angaur;Angaur, PW
48005;Angelina;Angelina, TX
24003;Anne Arundel;Anne Arundel, MD
27003;Anoka;Anoka, MN
37007;Anson;Anson, NC
31003;Antelope;Antelope, NE
26009;Antrim;Antrim, MI
04001;Apache;Apache, AZ
19007;Appanoose;Appanoose, IA
13001;Appling;Appling, GA
51011;Appomattox;Appomattox, VA
48007;Aransas;Aransas, TX
08005;Arapahoe;Arapahoe, CO
48009;Archer;Archer, TX
08007;Archuleta;Archuleta, CO
72013;Arecibo;Arecibo, PR
26011;Arenac;Arenac, MI
05001;Arkansas;Arkansas, AR
51013;Arlington;Arlington, VA
48011;Armstrong;Armstrong, TX
42005;Armstrong;Armstrong, PA
68040;Arno;Arno, MH
23003;Aroostook;Aroostook, ME
72015;Arroyo;Arroyo, PR
31005;Arthur;Arthur, NE
22005;Ascension;Ascension, LA
37009;Ashe;Ashe, NC
39005;Ashland;Ashland, OH
55003;Ashland;Ashland, WI
05003;Ashley;Ashley, AR
39007;Ashtabula;Ashtabula, OH
53003;Asotin;Asotin, WA
22007;Assumption;Assumption, LA
48013;Atascosa;Atascosa, TX
29005;Atchison;Atchison, MO
20005;Atchison;Atchison, KS
39009;Athens;Athens, OH
13003;Atkinson;Atkinson, GA
34001;Atlantic;Atlantic, NJ
